origin_county,O_CRZ,Pop_group,Trip_purpose,Time_period,Trip_num_Total,Trip_num_inCSA,Trip_num_outsideCSA,Num_Residents
34037,false,LowIncome,Commute,Peak,13287,13090,197,12583
34021,false,NotLowIncome,Commute,Overnight,22033,21481,552,157283
34039,false,Student,Commute,Peak,260440,260277,163,142989
36111,false,Senior,Commute,Peak,21725,21086,639,39339
34017,false,Senior,Other,Peak,99136,98707,429,91058
34021,false,Student,Other,Overnight,14432,14062,370,102532
36103,false,LowIncome,Commute,Peak,262748,262336,412,196752
36079,false,Senior,Other,Overnight,4629,4596,33,18957
09009,false,Student,Other,Overnight,30064,29466,598,214683
34027,false,Student,Other,Overnight,17157,16953,204,125353
09001,false,LowIncome,Commute,Overnight,15924,15780,144,128768
36085,false,NotLowIncome,Other,Overnight,68842,68462,380,213036
36079,false,NotLowIncome,Commute,Overnight,4789,4764,25,48496
36119,false,Student,Commute,Peak,430664,430473,191,249351
34031,false,NotLowIncome,Commute,Overnight,24783,24701,82,204610
09005,false,NotLowIncome,Other,Peak,184334,175551,8783,85672
36047,false,Student,Commute,Overnight,20790,20677,113,663789
34017,false,LowIncome,Commute,Peak,147293,146893,400,134092
34021,false,LowIncome,Other,Peak,124651,118133,6518,62973
34003,false,Senior,Commute,Peak,122638,121997,641,173346
36059,false,LowIncome,Commute,Peak,229628,229354,274,156808
36061,true,LowIncome,Other,Peak,199184,198713,471,272046
34031,false,Senior,Commute,Overnight,6459,6389,70,81486
36061,false,LowIncome,Commute,Peak,206651,206229,422,272046
09001,false,LowIncome,Commute,Peak,177589,176559,1030,128768
09005,false,LowIncome,Other,Overnight,7668,7407,261,20483
36061,false,LowIncome,Other,Peak,194594,194021,573,272046
36061,false,Student,Commute,Overnight,10832,10791,41,333317
09001,false,NotLowIncome,Other,Overnight,168005,166647,1358,417145
36087,false,NotLowIncome,Other,Peak,260602,260150,452,118974
36111,false,LowIncome,Other,Overnight,12466,12235,231,30777
34035,false,Senior,Commute,Overnight,4704,4602,102,58035
34037,false,Senior,Commute,Overnight,1967,1908,59,27550
34013,false,NotLowIncome,Other,Peak,656690,654787,1903,321624
36061,false,Student,Commute,Peak,299749,299538,211,333317
36081,false,NotLowIncome,Commute,Overnight,93511,93164,347,922636
34029,false,NotLowIncome,Commute,Peak,335320,327029,8291,233632
34027,false,Senior,Other,Overnight,23770,23534,236,92744
42103,false,NotLowIncome,Commute,Overnight,2002,1809,193,23596
36005,false,Senior,Commute,Overnight,14636,14458,178,203796
34013,false,Student,Other,Peak,124017,123624,393,220250
36103,false,Senior,Commute,Overnight,22851,22505,346,274322
34019,false,Senior,Commute,Overnight,1645,1554,91,25840
34029,false,LowIncome,Commute,Overnight,7748,7617,131,91103
09001,false,Senior,Other,Overnight,36634,36355,279,159031
42103,false,Senior,Other,Peak,14176,12129,2047,13962
36103,false,Senior,Other,Peak,338676,338234,442,274322
36087,false,Senior,Commute,Overnight,4261,4192,69,55002
34037,false,LowIncome,Other,Peak,29620,29323,297,12583
34027,false,Student,Commute,Overnight,5624,5562,62,125353
34017,false,NotLowIncome,Commute,Overnight,34235,34076,159,332476
34025,false,LowIncome,Commute,Overnight,7444,7384,60,57470
36061,true,NotLowIncome,Other,Overnight,149955,149299,656,765831
34019,false,LowIncome,Other,Overnight,4235,4048,187,10623
36085,false,LowIncome,Commute,Overnight,6965,6905,60,75637
34003,false,Student,Commute,Overnight,9099,9063,36,229971
